インフラコスト計算シート - 月間1万ユーザー想定

シナリオ,コンサバティブ,アグレッシブ,ハイ
総ユーザー数,10000,10000,10000

=== ユーザー行動パラメータ ===
クイズ完了率,60%,80%,90%
チャット使用率,20%,50%,70%
月間チャット回数（1ユーザー）,1.5,4,10
月間詳細閲覧ページ数,2.5,6.5,17.5
月間いいね/予約数,1.5,4,10

=== Supabase ===
プラン,Pro,Pro,Team
月額基本料金（USD）,25,25,599
月額基本料金（円 @150円）,3750,3750,89850
データベースサイズ（GB）,3,6,9
Bandwidth（GB/月）,50,150,300
Pro Plan上限 - Storage（GB）,8,8,8
Pro Plan上限 - Bandwidth（GB）,250,250,250
超過の有無,なし,なし,あり（Team必須）
月額合計（円）,3750,3750,89850

=== Vercel ===
プラン,Pro,Pro,Pro
基本料金（USD/月）,20,20,20
基本料金（円 @150円）,3000,3000,3000
Bandwidth使用量（GB/月）,150,400,1000
Pro Plan上限（GB）,100,100,100
超過Bandwidth（GB）,50,300,900
超過料金（USD/GB）,0.15,0.15,0.15
Bandwidth超過料金（USD）,7.5,45,135
Bandwidth超過料金（円）,1125,6750,20250
Function Execution（GB-Hours）,30,80,220
Pro Plan上限（GB-Hours）,100,100,100
超過Function（GB-Hours）,0,0,120
Function超過料金（USD/GB-Hour）,0.6,0.6,0.6
Function超過料金（USD）,0,0,72
Function超過料金（円）,0,0,10800
月額合計（円）,4125,9750,34050

=== Google Maps/Places API ===
Text Search単価（USD/1000req）,32,32,32
Place Details単価（USD/1000req）,17,17,17
Photo API単価（USD/1000req）,7,7,7
Maps JavaScript単価（USD/1000loads）,7,7,7

Text Search使用回数,96000,140000,205000
Text Search料金（USD）,3072,4480,6560
Place Details使用回数,30000,70000,180000
Place Details料金（USD）,510,1190,3060
Photo API使用回数,60000,210000,720000
Photo API料金（USD）,420,1470,5040
Maps JavaScript使用回数,30000,50000,120000
Maps JavaScript料金（USD）,210,350,840

小計（USD）,4212,7490,15500
無料クレジット（USD/月）,200,200,200
合計（USD）,4012,7290,15300
月額合計（円 @150円）,6018,10935,22950

=== OpenAI API ===
モデル,GPT-4o-mini,GPT-4o-mini,GPT-4o-mini
Input単価（USD/1M tokens）,0.15,0.15,0.15
Output単価（USD/1M tokens）,0.6,0.6,0.6
Embeddings単価（USD/1M tokens）,0.02,0.02,0.02

チャット総回数,4000,20000,70000
1チャットInput tokens,1500,2000,2500
1チャットOutput tokens,800,1000,1200

Input総tokens（M）,6,40,175
Output総tokens（M）,3.2,20,84
Embeddings総tokens（M）,0.05,0.15,0.25

Input料金（USD）,0.9,6,26.25
Output料金（USD）,1.92,12,50.4
Embeddings料金（USD）,0.001,0.003,0.005

合計（USD）,2.821,18.003,76.655
月額合計（円 @150円）,423,2700,11498

=== Cloudinary ===
プラン,Free,Plus,Plus
基本料金（USD/月）,0,89,89
基本料金（円 @150円）,0,13350,13350
Storage使用量（GB）,15,30,50
Free上限（GB）,25,100,100
Plus上限（GB）,N/A,100,100
Bandwidth使用量（GB/月）,20,60,150
Free上限（GB）,25,100,100
Plus上限（GB）,N/A,100,100
超過Bandwidth（GB）,0,0,50
超過料金（USD/GB）,0,0,0.12
超過料金（USD）,0,0,6
超過料金（円）,0,0,900
Transformations回数,10000,30000,75000
Free上限,25000,100000,100000
月額合計（円）,0,13350,14250

=== SendGrid ===
プラン,Free,Free,Essentials
基本料金（USD/月）,0,0,19.95
基本料金（円 @150円）,0,0,2993
メール送信数（通/月）,1000,3000,10000
Free上限（通/日）,100,100,100
Free上限（通/月換算）,3000,3000,3000
超過の有無,なし,なし,あり
月額合計（円）,0,0,2993

=== その他コスト ===
監視ツール（円/月）,2000,5000,8000
CDN（円/月）,0,10000,0
バッファ（%）,20%,30%,0%

=== 合計 ===
基本コスト合計（円）,13191,40485,175591
監視ツール（円）,2000,5000,8000
CDN（円）,0,10000,0
小計（円）,15191,55485,183591
バッファ（円）,3038,16646,0
月額総コスト（円）,18229,72131,183591

推奨コスト（安全マージン込み）,28420,82740,178520

=== 1ユーザーあたりコスト ===
基本コスト/ユーザー,1.32,4.05,17.56
